Constituency No,S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes
41,1,TARVINDER SINGH MARWAH,Bharatiya Janata Party,38675,184,38859
41,2,FARHAD SURI,Indian National Congress,7324,26,7350
41,3,MANISH SISODIA,Aam Aadmi Party,38081,103,38184
41,4,RAVINDRA SINGH RAVIYODAYA,Bahujan Samaj Party,154,1,155
41,5,ANIL KUMAR,Bhartiya Rashtrawadi Party,74,0,74
41,6,BIJENDER,Haryana Jansena Party,119,0,119
41,7,RAKESH SAGAR,Blue India Party,78,0,78
41,8,ASHOK BAMBANI,Independent,170,1,171
41,9,SUNIL KUMAR KUKREJA,Independent,80,0,80
41,10,NOTA,None of the Above,438,3,441
42,1,ABHISHEK DUTT,Indian National Congress,26918,101,27019
42,2,NEERAJ BASOYA,Bharatiya Janata Party,37896,171,38067
42,3,MAHESH KUMAR,Bahujan Samaj Party,149,1,150
42,4,RAMESH PAHELWAN,Aam Aadmi Party,18558,59,18617
42,5,PARTEEK GUPTA,Independent,157,1,158
42,6,NOTA,None of the Above,470,2,472
43,1,CHARANJEET KAUR,Bahujan Samaj Party,237,1,238
43,2,JITENDER KUMAR KOCHAR,Indian National Congress,6734,36,6770
43,3,SATISH UPADHYAY,Bharatiya Janata Party,39216,348,39564
43,4,SOMNATH BHARTI,Aam Aadmi Party,37280,153,37433
43,5,BHAVISH DHANKAR,Bhartiya Rashtriya Jansatta,144,0,144
43,6,DR. BHUPENDRA CHAURASIYA,Yuva Bharat Rashtraseva Party,162,0,162
43,7,MEGHNAD S.,Independent,192,0,192
43,8,NOTA,None of the Above,526,6,532
44,1,ANIL KUMAR SHARMA,Bharatiya Janata Party,42965,295,43260
44,2,PRAMILA TOKAS,Aam Aadmi Party,28652,155,28807
44,3,VISHESH KUMAR,Indian National Congress,3048,31,3079
44,4,SUNIL KAIN,Bahujan Samaj Party,202,0,202
44,5,ABHA JHA,Bhartiya Mahasangh Party,25,0,25
44,6,NEERAJ CHOURASIYA,Yuva Bharat Rashtraseva Party,99,0,99
44,7,LOKESH KUMAR MASTERJI,Rashtriya Rashtrawadi Party,76,0,76
44,8,VIJAY KUMAR,Peoples Party of India (Democratic),52,0,52
44,9,SARAVANAN,Rashtriya Manav Party,35,0,35
44,10,KULDEEP SINGH AHLAWAT,Independent,55,0,55
44,11,PERMILA,Independent,87,1,88
44,12,RAMESH ADVOCATE,Independent,100,0,100
44,13,RAI SINGH,Independent,76,0,76
44,14,NOTA,None of the Above,545,4,549
45,1,GAJENDER SINGH YADAV,Bharatiya Janata Party,48022,327,48349
45,2,PUSHPA SINGH,Indian National Congress,9250,88,9338
45,3,MAHENDER CHAUDHARY,Aam Aadmi Party,46426,141,46567
45,4,YOGESHWAR SINGH BISHT,Bahujan Samaj Party,771,7,778
45,5,MAHAVIR SINGH,Matrubhoomi Sewa Party,181,0,181
45,6,VIJAY LAL TAMTA,Peoples Party of India (Democratic),104,0,104
45,7,SHARDA SINGH,Right to Recall Party,140,0,140
45,8,BALYOGI BABA BALAKNATH,Independent,9685,46,9731
45,9,NOTA,None of the Above,840,6,846
46,1,KARTAR SINGH TANWAR,Bharatiya Janata Party,80128,341,80469
46,2,BRIJ LAL,Bahujan Samaj Party,739,11,750
46,3,BRAHM SINGH TANWAR,Aam Aadmi Party,74029,201,74230
46,4,RAJENDER SINGH TANWAR,Indian National Congress,6550,51,6601
46,5,ISLAM ALI,Aazad Samaj Party (Kanshi Ram),180,1,181
46,6,RICHA KUMARI,Republican Sena,77,0,77
46,7,DINESH TANWAR,Aapki Apni Party (Peoples),293,0,293
46,8,NARENDER,Nationalist Congress Party,173,0,173
46,9,DAYA RAM GURJAR,Independent,164,3,167
46,10,DHARMENDER,Independent,268,1,269
46,11,SANJAY NEGI,Independent,220,1,221
46,12,NOTA,None of the Above,862,6,868
47,1,ASMITA,Bahujan Samaj Party,2569,12,2581
47,2,PREM CHAUHAN,Aam Aadmi Party,86774,115,86889
47,3,RAJESH CHAUHAN,Indian National Congress,12147,64,12211
47,4,DEEPAK TANWAR,Lok Janshakti Party(Ram Vilas),50124,85,50209
47,5,DEVIKA,Rashtriya Lok Janshakti Party,536,2,538
47,6,BACHAN RAM,Matrubhoomi Sewa Party,943,4,947
47,7,RAJA RAM,Bhartiya Rashtrawadi Party,2225,4,2229
47,8,NOTA,None of the Above,2116,14,2130
48,1,DR. AJAY DUTT,Aam Aadmi Party,46122,163,46285
48,2,KHUSHI RAM CHUNAR,Bharatiya Janata Party,41877,178,42055
48,3,JAI PRAKASH,Indian National Congress,7129,43,7172
48,4,SEWA DASS,Bahujan Samaj Party,390,7,397
48,5,ARUN,Haryana Jansena Party,302,0,302
48,6,GULSHAN BHARTI,Right to Recall Party,32,0,32
48,7,DARSAN SINGH,Aazad Samaj Party (Kanshi Ram),255,6,261
48,8,RAJIV KUMAR,Bhartiya Rashtrawadi Party,85,0,85
48,9,ASHOK KUMAR,Independent,101,1,102
48,10,NOTA,None of the Above,497,1,498
49,1,CHANDAN KUMAR CHOUDHARY,Bharatiya Janata Party,53980,69,54049
49,2,MOHD ZAKIULLAH,Bahujan Samaj Party,795,1,796
49,3,DINESH MOHANIYA,Aam Aadmi Party,53658,47,53705
49,4,HARSH CHOUDHARY,Indian National Congress,15840,23,15863
49,5,QAMAR ALI,Nationalist Congress Party,78,0,78
49,6,RAVINDER SINGH,Republican Sena,68,0,68
49,7,SIRAJUDDIN,Aazad Samaj Party (Kanshi Ram),83,0,83
49,8,SUDHIR NEGI,Matrubhoomi Sewa Party,143,0,143
49,9,JAGDISH KUMAR VERMA,Independent,195,0,195
49,10,MAHENDER KUMAR,Independent,136,0,136
49,11,SATPAL,Independent,61,0,61
49,12,NOTA,None of the Above,534,3,537
50,1,GARVIT SINGHVI,Indian National Congress,6677,34,6711
50,2,NIYATI CHOUDHARY,Bahujan Samaj Party,235,0,235
50,3,SHIKHA ROY,Bharatiya Janata Party,49370,224,49594
50,4,SAURABH BHARADWAJ,Aam Aadmi Party,46231,175,46406
50,5,RAMESH JAGANNATH SHAH,Delhi Janta Party,96,0,96
50,6,SATISH KUMAR GULLIYA,Bhartiya Rashtrawadi Party,171,0,171
50,7,NOTA,None of the Above,666,5,671
51,1,ALKA LAMBA,Indian National Congress,4367,25,4392
51,2,ATISHI,Aam Aadmi Party,52058,96,52154
51,3,PRITAM SINGH,Bahujan Samaj Party,421,0,421
51,4,RAMESH BIDHURI,Bharatiya Janata Party,48478,155,48633
51,5,TANYA SINGH,Bhartiya Rashtrawadi Party,193,0,193
51,6,DEEPAK KAPILA,Azad Adhikar Sena,173,1,174
51,7,RAJAN SINGH,Aam Janta Party (India),84,1,85
51,8,RAJESH KUMAR,Veer Janshakti Party,23,0,23
51,9,SANGH MITRA,Bhim Sena,28,0,28
51,10,IQBAL AHMED SIDDIQUI,Independent,31,0,31
51,11,PARVEEN CHOUDHRY,Independent,58,0,58
51,12,RAVI,Independent,39,0,39
51,13,SANJAY,Independent,89,0,89
51,14,NOTA,None of the Above,556,0,556
52,1,AMJAD HASAN,Bahujan Samaj Party,1604,2,1606
52,2,ROHTASH KUMAR,Bharatiya Janata Party,47362,82,47444
52,3,VIRENDER SINGH,Indian National Congress,2303,10,2313
52,4,SAHI RAM,Aam Aadmi Party,62073,82,62155
52,5,KHURSHEED ABBAS ZAIDI,Rashtriya Bahujan Congress Party,133,0,133
52,6,CHAMAN LAL,Peoples Party of India (Democratic),86,0,86
52,7,NARESH KUMAR,Right to Recall Party,199,0,199
52,8,PARVEEN CHAUHAN,Samata Party,323,0,323
52,9,REKHA SINGH,Independent,143,0,143
52,10,NOTA,None of the Above,534,2,536
53,1,ARJUN SINGH BHADANA,Indian National Congress,3135,10,3145
53,2,JAGDISH CHAND,Communist Party of India (Marxist),363,4,367
53,3,NARAYAN DUTT SHARMA,Bharatiya Janata Party,86865,238,87103
53,4,PARDEEP,Bahujan Samaj Party,1955,10,1965
53,5,RAM SINGH NETAJI,Aam Aadmi Party,112809,182,112991
53,6,IMRAN SAIFI,Nationalist Congress Party,322,0,322
53,7,BRIJPAL,Bharatiya Sampuran Krantikari Party,107,0,107
53,8,RAM BAHADUR,Akhil Bhartiya Manavatavadi Party,133,1,134
53,9,RAHUL RAI,Samata Party,466,0,466
53,10,HARI RAM,Rashtriya Bahujan Congress Party,185,0,185
53,11,OM PRAKASH GUPTA,Independent,176,0,176
53,12,DEEPAK RAWAT,Independent,219,0,219
53,13,NOTA,None of the Above,908,7,915
54,1,AMANATULLAH KHAN,Aam Aadmi Party,88751,192,88943
54,2,ARIBA KHAN,Indian National Congress,12638,101,12739
54,3,MANISH CHAUDHARY,Bharatiya Janata Party,65157,147,65304
54,4,SATISH KUMAR,Bahujan Samaj Party,755,1,756
54,5,MD INJAMAMUL HASSAN,Communist Party of India,259,0,259
54,6,MOHD ISLAM,Right to Recall Party,83,0,83
54,7,KANEEZ FATIMA,Aihra National Party,126,0,126
54,8,JAMALUDDIN,Buland Bharat Party,41,0,41
54,9,FIRDOS ALAM,Bhartiya Insan Party,148,0,148
54,10,RIZWANA KHATOON,Socialist Unity Centre Of India (COMMUNIST),221,0,221
54,11,SHIFA UR REHMAN KHAN,All India Majlis-E-Ittehadul Muslimeen,39498,60,39558
54,12,SHER MOHAMMAD,Azad Samaj Party,287,3,290
54,13,SHEIKH ARSALAN ULLAH CHISHTI,Independent,270,0,270
54,14,HAMMAD KHAN,Independent,180,0,180
54,15,NOTA,None of the Above,600,4,604
55,1,AMARDEEP,Indian National Congress,6115,32,6147
55,2,ANJANA PARCHA,Aam Aadmi Party,57692,133,57825
55,3,NAND LAL,Bahujan Samaj Party,1309,13,1322
55,4,RAVI KANT,Bharatiya Janata Party,58029,188,58217
55,5,VICKY,Aazad Samaj Party (Kanshi Ram),1677,4,1681
55,6,SARITA SINGH,Akhil Bharatiya Socialist Party,133,3,136
55,7,NAVEEN RAM,Independent,272,0,272
55,8,NOTA,None of the Above,679,4,683
56,1,AKSHAY KUMAR,Indian National Congress,7173,57,7230
56,2,KULDEEP KUMAR (MONU),Aam Aadmi Party,61609,183,61792
56,3,PRIYANKA GAUTAM,Bharatiya Janata Party,55243,256,55499
56,4,MUKESH KUMAR,Bahujan Samaj Party,2388,50,2438
56,5,AMARJEET PRASAD,Communist Party of India (Marxist-Leninist) (Liberation),94,6,100
56,6,ASHA KAMBLE,Republican Party of India (Athawale),188,0,188
56,7,NIKHIL KUMAR PIPAL,Right to Recall Party,121,1,122
56,8,SUNNY KUMAR,Aazad Samaj Party (Kanshi Ram),411,7,418
56,9,SURENDER SINGH,Swaraj Bhartiya Nyay Party,166,1,167
56,10,NOTA,None of the Above,771,5,776
57,1,ANIL KUMAR,Indian National Congress,16454,95,16549
57,2,AVADH OJHA,Aam Aadmi Party,45856,132,45988
57,3,OM SHANKAR PANDEY,Bahujan Samaj Party,747,9,756
57,4,Ravinder Singh Negi (Ravi Negi),Bharatiya Janata Party,73696,364,74060
57,5,GOPAL PRASAD,Delhi Janta Party,137,0,137
57,6,DEEPA DEVI,Aihra National Party,55,2,57
57,7,PRAKASH CHANDRA JOSHI,Bhartiya Rashtriya Jansatta,187,1,188
57,8,JAGDISH OJHA,Independent,108,0,108
57,9,DIBLU SINGH,Independent,114,3,117
57,10,NOTA,None of the Above,688,4,692
58,1,ABHAY VERMA,Bharatiya Janata Party,65560,298,65858
58,2,B B TYAGI,Aam Aadmi Party,54148,168,54316
58,3,MOHD WAQAR CHOUDHARY,Bahujan Samaj Party,382,6,388
58,4,SUMIT SHARMA,Indian National Congress,4277,39,4316
58,5,ANIMA OJHA,Right to Recall Party,45,0,45
58,6,ISMAIL,Voice of Awam Party,32,0,32
58,7,KUSUM LATA,Peoples Party of India (Democratic),44,2,46
58,8,GANDHI GAUTAM,Aazad Samaj Party (Kanshi Ram),172,1,173
58,9,DANVEER VIDYALANKAR,Rashtra Nirman Party,41,0,41
58,10,DEEPAK PANDEY,Magadh Congress of Inda,107,0,107
58,11,NAMAHA,Nationalist Congress Party,48,0,48
58,12,VIKAS,Aapsi Sahyog Party,133,2,135
58,13,ANURAG KUMAR,Independent,48,0,48
58,14,JAGDISH KUMAR GARG,Independent,74,0,74
58,15,VIMAL KUMAR SAXENA,Independent,69,0,69
58,16,NOTA,None of the Above,680,6,686
59,1,OM PRAKASH SHARMA,Bharatiya Janata Party,71672,469,72141
59,2,DEEPAK SINGHAL,Aam Aadmi Party,46955,144,47099
59,3,RAJIV CHAUDHARY,Indian National Congress,3576,51,3627
59,4,RAJESH KUMAR YADAV,Bahujan Samaj Party,436,7,443
59,5,ANIL KUMAR,National Youth Party,47,0,47
59,6,GURMEET SINGH,Jai Maha Bharath Party,161,0,161
59,7,DEEPAK KUMAR,Bharatiy Aam Janta Adhikar Party,47,2,49
59,8,NEELAM SINGH,Peoples Party of India (Democratic),49,0,49
59,9,PARAG JAIN,Aam Aadmi Parivartan Party,142,0,142
59,10,BHAWANA BOTHRA,Veer Janshakti Party,217,0,217
59,11,NOTA,None of the Above,1042,5,1047
60,1,DR ANIL GOYAL,Bharatiya Janata Party,75623,299,75922
60,2,AMAR SINGH,Bahujan Samaj Party,544,8,552
60,3,GURCHARAN SINGH (RAJU),Indian National Congress,9356,37,9393
60,4,VIKAS BAGGA CA,Aam Aadmi Party,56332,92,56424
60,5,POONAM MAINI,National Youth Party,131,0,131
60,6,VIDHAYAK VIRENDRA PRADHAN GURJAR,Samrat Mihir Bhoj Samaj Party,96,0,96
60,7,VINOD KAPOOR,Independent,191,0,191
60,8,NOTA,None of the Above,687,9,696
61,1,ARVINDER SINGH LOVELY,Bharatiya Janata Party,56665,193,56858
61,2,KAMAL ARORA (DABBU),Indian National Congress,3433,20,3453
61,3,TIKRAJ SINGH,Bahujan Samaj Party,235,0,235
61,4,NAVEEN CHAUDHARY (DEEPU),Aam Aadmi Party,44059,51,44110
61,5,PAWAN CHOUDHRY,Jatiya Jana Sena Party,190,0,190
61,6,GULFAM,Independent,156,0,156
61,7,NOTA,None of the Above,402,0,402
62,1,JAGAT SINGH,Indian National Congress,3834,28,3862
62,2,JITENDER SINGH SHUNTY,Aam Aadmi Party,57449,161,57610
62,3,DHARMINDRA KUMAR KAIM,Bahujan Samaj Party,586,10,596
62,4,SANJAY GOYAL,Bharatiya Janata Party,62477,311,62788
62,5,KAMAL KISHORE,National Youth Party,145,0,145
62,6,NITIN GARG,Aam Aadmi Parivartan Party,181,1,182
62,7,RAJENDRA KUMAR PAL,Nationalist Congress Party,58,0,58
62,8,ASHOK SURANA,Independent,87,0,87
62,9,DILIP BANERJEE,Independent,52,0,52
62,10,VINAY CHAUDHARI,Independent,577,2,579
62,11,NOTA,None of the Above,555,3,558
63,1,MANOJ,Bahujan Samaj Party,855,12,867
63,2,RAJESH LILOTHIA,Indian National Congress,11788,35,11823
63,3,KU. RINKU,Bharatiya Janata Party,55766,219,55985
63,4,VEER SINGH DHINGAN,Aam Aadmi Party,66186,167,66353
63,5,AJAY KUMAR,Peoples Party of India (Democratic),276,1,277
63,6,ANIL KUMAR,Aazad Samaj Party (Kanshi Ram),650,4,654
63,7,CHARAN SINGH MALIYAN,Right to Recall Party,58,0,58
63,8,RAJESH,Bharatiya Sarvodaya Kranti Party,50,1,51
63,9,RAJESH KUMAR LOHIYA,Nationalist Congress Party,110,0,110
63,10,SAROJ BALA,Swatantra Jantaraj Party,163,0,163
63,11,ASHISH KUMAR,Independent,158,0,158
63,12,NOTA,None of the Above,453,5,458
64,1,ASHOK KUMAR,Bahujan Samaj Party,930,23,953
64,2,JITENDER MAHAJAN,Bharatiya Janata Party,82299,597,82896
64,3,SARITA SINGH,Aam Aadmi Party,54803,191,54994
64,4,SURESHVATI,Indian National Congress,3604,35,3639
64,5,AKESHAN DUT,Bhartiya Rashtriya Dal,48,0,48
64,6,ABHISHEK,Nationalist Congress Party,91,0,91
64,7,AMIT KUMAR SHARMA,Sanjhi Virasat Party,42,1,43
64,8,NASEEM USMAN,Bharatiya Liberal Party,63,0,63
64,9,PANKAJ GUPTA,Sarvodaya Prabhat Party,54,0,54
64,10,SUBHASH CHAND GUPTA,Bhartiya Rashtrawadi Party,30,0,30
64,11,SURENDER SINGH VISHWAKARMA,Aazad Samaj Party (Kanshi Ram),172,2,174
64,12,SANJEEV KUMAR,Jan Samuh Party,34,1,35
64,13,NITIN MITTAL,Independent,45,0,45
64,14,VIKAS TYAGI,Independent,548,2,550
64,15,SURESH PAL JAINTH,Independent,72,0,72
64,16,NOTA,None of the Above,628,2,630
65,1,ANIL KUMAR SHARMA (GAUR),Bharatiya Janata Party,36353,179,36532
65,2,ABDUL REHMAN,Indian National Congress,16524,27,16551
65,3,CHAUDHARY ZUBAIR AHMAD,Aam Aadmi Party,78866,143,79009
65,4,DEEPAK KUMAR,Bahujan Samaj Party,415,7,422
65,5,MOHD NAZIR,Republican Party of India (Athawale),107,0,107
65,6,SHABANA,Rashtriya Republican Party,177,0,177
65,7,SUMAN SHARMA,Sanjhi Virasat Party,50,0,50
65,8,S. M. AQIF,Independent,24,0,24
65,9,ISLAUDDIN,Independent,22,0,22
65,10,MOHD ZUBAIR MALIK,Independent,29,0,29
65,11,RAHISUDDIN AHMAD,Independent,44,0,44
65,12,MOHD SHAFI,Independent,72,0,72
65,13,SYED MUNEEB,Independent,46,0,46
65,14,NOTA,None of the Above,353,2,355
66,1,AJAY MAHAWAR,Bharatiya Janata Party,79706,281,79987
66,2,GAURAV SHARMA,Aam Aadmi Party,53828,101,53929
66,3,BHISHAM SHARMA,Indian National Congress,4859,24,4883
66,4,SUNDER LOHIYA,Bahujan Samaj Party,448,6,454
66,5,ANIL SINGH,Sanjhi Virasat Party,56,0,56
66,6,BABITA,Yuva Bharat Rashtraseva Party,114,0,114
66,7,ADVOCATE MEHAK DOGRA,Nationalist Congress Party,44,2,46
66,8,SHUBHAM,Right to Recall Party,84,0,84
66,9,GAURAV SHARMA,Independent,277,2,279
66,10,NOTA,None of the Above,587,1,588
67,1,ANIL KUMAR VASHISHT,Bharatiya Janata Party,56758,440,57198
67,2,GOPAL RAI,Aam Aadmi Party,76031,161,76192
67,3,MOHD ISHRAQ KHAN,Indian National Congress,8777,20,8797
67,4,BHUPENDER YADAV,Janhit Dal,93,0,93
67,5,MD NAZIR,Aman Samaj Party,201,0,201
67,6,MANOJ KUMAR,Akhil Bharatiya Socialist Party,75,1,76
67,7,SHIV KUMAR(KAKE),Sarvodaya Prabhat Party,89,0,89
67,8,MOHAMMAD ABDULLAH ANSARI,Independent,124,0,124
67,9,NOTA,None of the Above,471,3,474
68,1,ISHWAR SINGH,Indian National Congress,5840,65,5905
68,2,PRAVEEN NIMESH,Bharatiya Janata Party,71764,533,72297
68,3,LAL SINGH,Bahujan Samaj Party,2518,44,2562
68,4,SURENDRA KUMAR,Aam Aadmi Party,80086,418,80504
68,5,ATUL KUMAR,Swaraj Bhartiya Nyay Party,335,4,339
68,6,ARVIND KUMAR,Aazad Samaj Party (Kanshi Ram),3049,37,3086
68,7,CHARAN SINGH MALIYAN,Right to Recall Party,91,0,91
68,8,JAGDISH,Nationalist Congress Party,64,0,64
68,9,DHARAMVIR SINGH,Peoples Party of India (Democratic),193,2,195
68,10,BIR SAIN,Bharatiya Sarvodaya Kranti Party,145,0,145
68,11,MANJEET SINGH,Jan Samuh Party,125,4,129
68,12,SURESHPAL JAINTH,Independent,130,3,133
68,13,NOTA,None of the Above,589,12,601
69,1,ALI MEHDI,Indian National Congress,11732,31,11763
69,2,ASHOK KUMAR,Bahujan Samaj Party,1201,22,1223
69,3,ADEEL AHMAD KHAN,Aam Aadmi Party,67511,126,67637
69,4,MOHAN SINGH BISHT,Bharatiya Janata Party,84888,327,85215
69,5,ASHA CHAUDHARY,Bharatiya Sampuran Krantikari Party,236,0,236
69,6,MOHD USMAN BAKHSH,Rashtriya Janmorcha,151,0,151
69,7,MOHD. TAHIR HUSSAIN,All India Majlis-E-Ittehadul Muslimeen,33467,7,33474
69,8,DHARAM PAL,Bharatiya Sarvodaya Kranti Party,391,0,391
69,9,NASIRUDDIN GAURI,Rashtriya Republican Party,75,0,75
69,10,VISHAL,Peoples Party of India (Democratic),191,1,192
69,11,SAGAR TANHA,Peace Party,227,0,227
69,12,JITENDER KUMAR,Independent,122,0,122
69,13,NOTA,None of the Above,451,4,455
70,1,ASHOK AGARWAL,Communist Party of India (Marxist),456,1,457
70,2,KAPIL MISHRA,Bharatiya Janata Party,106963,404,107367
70,3,DEVENDRA BHAIYA,Bahujan Samaj Party,1876,11,1887
70,4,MANOJ KUMAR TYAGI,Aam Aadmi Party,83843,169,84012
70,5,DR. P.K. MISHRA,Indian National Congress,3908,13,3921
70,6,NEERAJ,New India United Party,100,0,100
70,7,PRAKASH CHAND,Bahujan Dravida Party,278,0,278
70,8,YOGENDER,Bharatiya Sampuran Krantikari Party,89,1,90
70,9,SEEMA,Peoples Party of India (Democratic),128,0,128
70,10,SANJAY MISHRA (SITARAM),Nationalist Congress Party,165,0,165
70,11,SANDHIYA TIWARI,Akhil Bharatiya Socialist Party,70,1,71
70,12,H.M. HASHIM MALIK,Social Democratic Party Of India,491,0,491
70,13,AJAY SINGH NEGI,Independent,1002,4,1006
70,14,YOGESH SWAMY,Independent,228,1,229
70,15,VISHAL SHARMA,Independent,173,0,173
70,16,NOTA,None of the Above,706,3,709
